昵称,性别,聊天内容,时间戳,标准时间,商品,类别,是否讲故事
z***,2,冬冬还知道辅导作业用喊的[捂脸],1679536799,2145/12/3 9:59,南瓜籽仁,零食,1
微***,2,有啥效果,1679536800,2145/12/3 10:00,南瓜籽仁,零食,1
黑***,0,@阿*** 冬冬去,1679536802,2145/12/3 10:00,南瓜籽仁,零食,1
像***,2,咸鸭蛋有没,1679536806,2145/12/3 10:00,南瓜籽仁,零食,1
゛***,0,哈哈哈，一辅导作业就鸡飞狗跳,1679536810,2145/12/3 10:00,南瓜籽仁,零食,1
随***,0,这个梨膏很好,1679536811,2145/12/3 10:00,南瓜籽仁,零食,1
用***,0,藕粉有吗,1679536816,2145/12/3 10:00,南瓜籽仁,零食,1
淘***,2,66666,1679536821,2145/12/3 10:00,南瓜籽仁,零食,1
微***,2,我也上手[捂脸],1679536826,2145/12/3 10:00,南瓜籽仁,零食,0
小***,2,冲自己上手嘛,1679536829,2145/12/3 10:00,南瓜籽仁,零食,0
??***,2,不要随便去评论别人！还是口下留善言！,1679536831,2145/12/3 10:00,南瓜籽仁,零食,0
笔***,2,圣牧牛奶哪天??呀？小助理,1679536832,2145/12/3 10:00,南瓜籽仁,零食,0
星***,0,有糯米笋吗？,1679536834,2145/12/3 10:00,南瓜籽仁,零食,0
T***,0,哎呦喂，没想到天下辅导人员都一样,1679536839,2145/12/3 10:00,南瓜籽仁,零食,1
爱***,0,来了,1679536842,2145/12/3 10:00,南瓜籽仁,零食,1
奧***,2,??????哈哈哈。。我也上手,1679536851,2145/12/3 10:00,南瓜籽仁,零食,1
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679536852,2145/12/3 10:00,南瓜籽仁,零食,1
微***,2,女孩子就不一样,1679536865,2145/12/3 10:01,南瓜籽仁,零食,1
两***,2,一生气直接上手,1679536869,2145/12/3 10:01,南瓜籽仁,零食,1
用***,0,上午好,1679536869,2145/12/3 10:01,南瓜籽仁,零食,1
微***,2,要打人,1679536871,2145/12/3 10:01,南瓜籽仁,零食,1
用***,0,藕粉,1679536872,2145/12/3 10:01,南瓜籽仁,零食,0
梦***,2,[赞][赞][赞][赞][赞],1679536873,2145/12/3 10:01,南瓜籽仁,零食,0
??***,2,鸡蛋,1679536874,2145/12/3 10:01,南瓜籽仁,零食,0
静***,2,拍了两单,1679536876,2145/12/3 10:01,南瓜籽仁,零食,0
小***,2,[赞][赞][赞][赞][赞][赞][赞],1679536883,2145/12/3 10:01,南瓜籽仁,零食,0
岁***,2,上午好,1679536887,2145/12/3 10:01,南瓜籽仁,零食,0
奧***,2,@微*** 那是您孩子乖[呲牙],1679536889,2145/12/3 10:01,南瓜籽仁,零食,0
炸***,0,小心外甥记仇[呲牙],1679536890,2145/12/3 10:01,南瓜籽仁,零食,0
l***,0,[鼓掌],1679536891,2145/12/3 10:01,南瓜籽仁,零食,0
迎***,2,小心你姐奏你,1679536892,2145/12/3 10:01,南瓜籽仁,零食,0
屈***,2,熟的吗？,1679536909,2145/12/3 10:01,南瓜籽仁,零食,0
媛***,2,每天都是鸡飞狗跳的作业时刻[笑哭][笑哭],1679536911,2145/12/3 10:01,南瓜籽仁,零食,0
已***,0,什么时候上儿童酸奶啊,1679536913,2145/12/3 10:01,南瓜籽仁,零食,0
随***,0,冬冬是东方甄选的颜值担当,1679536914,2145/12/3 10:01,南瓜籽仁,零食,0
香***,2,[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰],1679536919,2145/12/3 10:01,南瓜籽仁,零食,0
玖***,2,有没有牛腩啊,1679536929,2145/12/3 10:02,南瓜籽仁,零食,0
小***,2,拍手称赞,1679536929,2145/12/3 10:02,南瓜籽仁,零食,0
1***,2,[捂脸][捂脸][捂脸][捂脸][玫瑰][玫瑰],1679536929,2145/12/3 10:02,南瓜籽仁,零食,0
屈***,2,瓜子仁是熟的吗？,1679536932,2145/12/3 10:02,南瓜籽仁,零食,0
树***,2,不能到达,1679536933,2145/12/3 10:02,南瓜籽仁,零食,0
??***,2,这是哪位帅小伙呀？[呲牙][呲牙],1679536935,2145/12/3 10:02,南瓜籽仁,零食,0
两***,2,有人帮我管孩子随便揍[捂脸][捂脸],1679536936,2145/12/3 10:02,南瓜籽仁,零食,0
迷***,2,有菜板吗,1679536937,2145/12/3 10:02,南瓜籽仁,零食,0
福***,2,你是懂皮孩子的,1679536939,2145/12/3 10:02,南瓜籽仁,零食,0
蓝***,2,这怎么剥的,1679536940,2145/12/3 10:02,南瓜籽仁,零食,0
蓝***,2,这么多,1679536945,2145/12/3 10:02,南瓜籽仁,零食,0
东***,0,产品规格不同，大家想要了解更多商品细节看下详情页或回放了解下哦，具体咨询链接左下角客服哈,1679536945,2145/12/3 10:02,南瓜籽仁,零食,0
