昵称,性别,聊天内容,时间戳,商品,类别,主播
微***,2,有啥效果,1679536800,南瓜籽仁,零食,冬冬
黑***,0,@阿*** 冬冬去,1679536802,南瓜籽仁,零食,冬冬
像***,2,咸鸭蛋有没,1679536806,南瓜籽仁,零食,冬冬
゛***,0,哈哈哈，一辅导作业就鸡飞狗跳,1679536810,南瓜籽仁,零食,冬冬
随***,0,这个梨膏很好,1679536811,南瓜籽仁,零食,冬冬
用***,0,藕粉有吗,1679536816,南瓜籽仁,零食,冬冬
淘***,2,66666,1679536821,南瓜籽仁,零食,冬冬
微***,2,我也上手[捂脸],1679536826,南瓜籽仁,零食,冬冬
小***,2,冲自己上手嘛,1679536829,南瓜籽仁,零食,冬冬
🌈***,2,不要随便去评论别人！还是口下留善言！,1679536831,南瓜籽仁,零食,冬冬
笔***,2,圣牧牛奶哪天🈶呀？小助理,1679536832,南瓜籽仁,零食,冬冬
星***,0,有糯米笋吗？,1679536834,南瓜籽仁,零食,冬冬
T***,0,哎呦喂，没想到天下辅导人员都一样,1679536839,南瓜籽仁,零食,冬冬
爱***,0,来了,1679536842,南瓜籽仁,零食,冬冬
奧***,2,😂😂😂哈哈哈。。我也上手,1679536851,南瓜籽仁,零食,冬冬
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679536852,南瓜籽仁,零食,冬冬
微***,2,女孩子就不一样,1679536865,南瓜籽仁,零食,冬冬
两***,2,一生气直接上手,1679536869,南瓜籽仁,零食,冬冬
用***,0,上午好,1679536869,南瓜籽仁,零食,冬冬
微***,2,要打人,1679536871,南瓜籽仁,零食,冬冬
用***,0,藕粉,1679536872,南瓜籽仁,零食,冬冬
梦***,2,[赞][赞][赞][赞][赞],1679536873,南瓜籽仁,零食,冬冬
🐷***,2,鸡蛋,1679536874,南瓜籽仁,零食,冬冬
静***,2,拍了两单,1679536876,南瓜籽仁,零食,冬冬
小***,2,[赞][赞][赞][赞][赞][赞][赞],1679536883,南瓜籽仁,零食,冬冬
岁***,2,上午好,1679536887,南瓜籽仁,零食,冬冬
奧***,2,@微*** 那是您孩子乖[呲牙],1679536889,南瓜籽仁,零食,冬冬
炸***,0,小心外甥记仇[呲牙],1679536890,南瓜籽仁,零食,冬冬
l***,0,[鼓掌],1679536891,南瓜籽仁,零食,冬冬
迎***,2,小心你姐奏你,1679536892,南瓜籽仁,零食,冬冬
屈***,2,熟的吗？,1679536909,南瓜籽仁,零食,冬冬
媛***,2,每天都是鸡飞狗跳的作业时刻[笑哭][笑哭],1679536911,南瓜籽仁,零食,冬冬
已***,0,什么时候上儿童酸奶啊,1679536913,南瓜籽仁,零食,冬冬
随***,0,冬冬是东方甄选的颜值担当,1679536914,南瓜籽仁,零食,冬冬
香***,2,[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰],1679536919,南瓜籽仁,零食,冬冬
玖***,2,有没有牛腩啊,1679536929,南瓜籽仁,零食,冬冬
小***,2,拍手称赞,1679536929,南瓜籽仁,零食,冬冬
1***,2,[捂脸][捂脸][捂脸][捂脸][玫瑰][玫瑰],1679536929,南瓜籽仁,零食,冬冬
屈***,2,瓜子仁是熟的吗？,1679536932,南瓜籽仁,零食,冬冬
树***,2,不能到达,1679536933,南瓜籽仁,零食,冬冬
🌈***,2,这是哪位帅小伙呀？[呲牙][呲牙],1679536935,南瓜籽仁,零食,冬冬
两***,2,有人帮我管孩子随便揍[捂脸][捂脸],1679536936,南瓜籽仁,零食,冬冬
迷***,2,有菜板吗,1679536937,南瓜籽仁,零食,冬冬
福***,2,你是懂皮孩子的,1679536939,南瓜籽仁,零食,冬冬
蓝***,2,这怎么剥的,1679536940,南瓜籽仁,零食,冬冬
蓝***,2,这么多,1679536945,南瓜籽仁,零食,冬冬
东***,0,产品规格不同，大家想要了解更多商品细节看下详情页或回放了解下哦，具体咨询链接左下角客服哈,1679536945,南瓜籽仁,零食,冬冬
已***,2,南瓜籽好吃，特喜欢,1679536947,南瓜籽仁,零食,冬冬
矮***,2,南瓜子好处很多  降血压  防治心血管病  美容养颜  防治前列腺疾病,1679536950,南瓜籽仁,零食,冬冬
矮***,2,南瓜子好处很多  降血压  防治心血管病  美容养颜  防治前列腺疾病,1679536954,南瓜籽仁,零食,冬冬
w***,2,机器播的吗,1679536959,南瓜籽仁,零食,冬冬
屈***,2,是熟的吗？,1679536960,南瓜籽仁,零食,冬冬
用***,0,[赞][赞][赞][赞][赞][赞][赞][赞],1679536961,南瓜籽仁,零食,冬冬
黑***,0,超酸的时候加南瓜籽 好吃,1679536966,南瓜籽仁,零食,冬冬
矮***,2,哈哈哈哈哈哈哈,1679536966,南瓜籽仁,零食,冬冬
橙***,0,补货,1679536970,南瓜籽仁,零食,冬冬
B***,2,什么时候有牛骨,1679536970,南瓜籽仁,零食,冬冬
矮***,2,南瓜子好处很多  降血压  防治心血管病  美容养颜  防治前列腺疾病[比心][比心][比心],1679536973,南瓜籽仁,零食,冬冬
J***,0,没了没了,1679536974,南瓜籽仁,零食,冬冬
微***,2,我家孩子喜欢吃,1679536975,南瓜籽仁,零食,冬冬
用***,0,己拍南瓜仔,1679536975,南瓜籽仁,零食,冬冬
L***,2,[捂脸],1679536978,南瓜籽仁,零食,冬冬
小***,0,好像啊,1679536979,南瓜籽仁,零食,冬冬
禅***,2,嘴剥的[捂脸],1679536983,南瓜籽仁,零食,冬冬
欧***,2,冬冬是我减肥路上最大的绊脚石,1679536983,南瓜籽仁,零食,冬冬
文***,2,[捂脸][捂脸][捂脸],1679536983,南瓜籽仁,零食,冬冬
1***,1,直接吃吗,1679536984,南瓜籽仁,零食,冬冬
两***,2,三年级的娃，考试直接把试卷带回家[捂脸],1679536984,南瓜籽仁,零食,冬冬
N***,2,我以为是茶叶，进来一看瓜子[疑问],1679536986,南瓜籽仁,零食,冬冬
小***,2,大家好，我是坐面包车回家的冬冬,1679536988,南瓜籽仁,零食,冬冬
欧***,2,冬冬是我减肥路上最大的绊脚石,1679536988,南瓜籽仁,零食,冬冬
萍***,0,是炒了的吗,1679536989,南瓜籽仁,零食,冬冬
屈***,2,南瓜子仁是熟的吗？,1679536992,南瓜籽仁,零食,冬冬
虫***,0,榴莲千层有吗今天,1679536993,南瓜籽仁,零食,冬冬
禅***,2,开玩笑的,1679536993,南瓜籽仁,零食,冬冬
淘***,2,减肥路上的绊脚石,1679536997,南瓜籽仁,零食,冬冬
伶***,0,生的？,1679537000,南瓜籽仁,零食,冬冬
欧***,2,冬冬是我减肥路上最大的绊脚石,1679537000,南瓜籽仁,零食,冬冬
矮***,2,就直接吃啊,1679537000,南瓜籽仁,零食,冬冬
桃***,2,大米,1679537002,南瓜籽仁,零食,冬冬
花***,1,这个机器人声音我家孩子也很会,1679537004,南瓜籽仁,零食,冬冬
桃***,2,大米,1679537005,南瓜籽仁,零食,冬冬
矮***,2,拌酸奶也好吃[比心][比心],1679537009,南瓜籽仁,零食,冬冬
香***,2,哈哈哈嘴剥的[泪奔][泪奔][泪奔][泪奔],1679537011,南瓜籽仁,零食,冬冬
虫***,0,榴莲千层今天有吗,1679537012,南瓜籽仁,零食,冬冬
V***,2,有饭盒吗,1679537012,南瓜籽仁,零食,冬冬
大***,0,喜欢冬冬,1679537013,南瓜籽仁,零食,冬冬
易***,0,今天有百香果吗,1679537014,南瓜籽仁,零食,冬冬
珍***,2,66666,1679537015,南瓜籽仁,零食,冬冬
珍***,2,来啦,1679537019,南瓜籽仁,零食,冬冬
伶***,0,生的？,1679537019,南瓜籽仁,零食,冬冬
我***,1,好多微量元素,1679537020,南瓜籽仁,零食,冬冬
用***,0,欧莱雅小蜂蜜有没有啊,1679537022,南瓜籽仁,零食,冬冬
V***,2,今天饭盒吗,1679537022,南瓜籽仁,零食,冬冬
梦***,2,[比心][比心][比心][比心],1679537023,南瓜籽仁,零食,冬冬
小***,2,上班悄悄看看冬冬,1679537026,南瓜籽仁,零食,冬冬
小***,2,懒人福音,1679537028,南瓜籽仁,零食,冬冬
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679537031,南瓜籽仁,零食,冬冬
矮***,2,南瓜子好处很多  降血压  防治心血管病  美容养颜  防治前列腺疾病[比心][比心],1679537032,南瓜籽仁,零食,冬冬
蓝***,2,坐那一集电视剧没看完就吃完了,1679537033,南瓜籽仁,零食,冬冬
炸***,0,有油腥味吗,1679537033,南瓜籽仁,零食,冬冬
🌈***,2,管家，你家少爷呢？,1679537034,南瓜籽仁,零食,冬冬
矮***,2,南瓜子好处很多  降血压  防治心血管病  美容养颜  防治前列腺疾病[比心][比心],1679537036,南瓜籽仁,零食,冬冬
V***,2,今天有饭盒吗主播,1679537037,南瓜籽仁,零食,冬冬
牛***,1,[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞],1679537037,南瓜籽仁,零食,冬冬
***,2,干炒还是咸的,1679537039,南瓜籽仁,零食,冬冬
你***,2,那个虾两种规格价位不一样，区别在哪,1679537042,南瓜籽仁,零食,冬冬
陌***,1,[赞][赞][赞],1679537043,南瓜籽仁,零食,冬冬
东***,0,产品规格不同，大家想要了解更多商品细节看下详情页或回放了解下哦，具体咨询链接左下角客服哈,1679537055,南瓜籽仁,零食,冬冬
***,2,干炒还是咸的,1679537058,南瓜籽仁,零食,冬冬
傲***,2,有酥梨嘛,1679537058,南瓜籽仁,零食,冬冬
善***,2,考肠是一盒8根吧,1679537059,秋葵脆片,零食,冬冬
默***,0,管家上午好,1679537059,秋葵脆片,零食,冬冬
小***,2,是咸的吗,1679537063,秋葵脆片,零食,冬冬
如***,2,好吃[赞],1679537063,秋葵脆片,零食,冬冬
@***,2,紫米为啥会掉色啊,1679537063,秋葵脆片,零食,冬冬
微***,2,我就吃不习惯,1679537066,秋葵脆片,零食,冬冬
洋***,0,怎么肉松找不到了呢[流泪][流泪][流泪],1679537066,秋葵脆片,零食,冬冬
美***,2,[赞][赞][赞][赞][赞][赞][赞],1679537068,秋葵脆片,零食,冬冬
